psraid,sample,ilang,cregion,usr,presapproval,presapprovestrength,countrydirection,approverace,approveeconomy,approvehealthcare,approveclimate,approveforeign,obamatough,approverepublicans,approvedemocrats,approvesupremecourt,approvecongress,supremecourtideology,supremecourtpower,equalrights,militarydiplomacy,racismproblem,knowirandeal,approveirandeal,relationshipirandeal,extremerepdem,peoplelikemerepdem,managegovrepdem,governsrepdem,immigrationrepdem,economyrepdem,terroristrepdem,environmentrepdem,abortionrepdem,taxesrepdem,foreignrepdem,healthcarerepdem,educationrepdem,deficitrepdem,gunsrepdem,approveaca,samesexmarriage,gunrights,owngun,approvesyria,groundtroopssyria,successsyria,approvecuba,approveendingembarago,knowconfederate,approveconfederate,rightconfederate,sex,age,education,hispanic,racecmb,religion,attend,income,registered,party,ideology,teaparty2,hh1,hh3,weight
203997,2,2,3,1,1,2,1,2,1,1,1,2,3,2,2,2,2,2,1,1,2,3,3,,1,2,1,1,1,2,,,,,,2,1,1,1,2,1,2,2,4,1,1,2,1,1,3,,,2,21,2,1,5,2,2,,3,4,2,3,6,4,3.121212121212121
101652,1,1,1,1,2,1,2,2,1,2,2,2,2,1,3,3,3,2,2,1,2,3,1,1,3,1,1,1,1,1,,,,,,1,1,1,1,1,2,3,2,,2,1,3,2,2,1,3,1,2,43,3,2,1,12,4,5,3,1,3,3,1,,6.727272727272728
101387,1,1,3,1,,,1,2,,,,2,,3,3,3,2,,3,2,1,2,3,,1,2,1,1,1,1,,,,,,1,1,1,1,1,,2,2,4,1,2,,1,2,3,3,2,2,88,4,2,1,1,2,4,1,3,5,3,1,,2.333333333333334
102187,1,1,2,1,2,1,2,2,2,2,2,2,2,2,3,4,3,3,3,1,5,3,1,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,2,3,1,1,1,1,3,2,2,1,3,1,1,53,4,2,1,13,3,3,1,1,,1,2,2,1.757575757575757
200579,2,1,3,1,1,1,1,1,1,1,1,1,3,4,2,4,3,1,3,2,2,2,1,1,1,1,2,2,2,2,,,,,,2,2,4,2,2,1,1,2,2,1,2,3,1,1,1,2,1,2,59,6,2,1,9,6,5,1,2,5,2,2,2,1.757575757575757
203104,2,1,2,1,2,1,2,2,2,2,,2,2,2,4,4,3,3,1,1,1,2,1,2,2,1,1,1,1,1,,,,,,1,1,1,1,1,2,4,1,,1,1,3,2,2,1,1,2,2,69,3,2,1,1,1,,1,1,1,,6,4,2.363636363636364
103009,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,3,1,2,2,2,2,2,3,2,1,1,1,1,1,4,1,2,1,,,,,,2,2,2,2,1,2,2,1,1,1,3,2,2,43,4,2,1,2,4,8,1,1,2,3,5,4,3.787878787878788
200949,2,1,3,1,2,1,2,2,2,2,2,2,2,1,4,4,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,2,,1,4,1,1,4,1,1,1,1,,1,67,5,2,1,1,2,2,1,1,1,1,2,2,2.818181818181818
200687,2,1,3,1,2,1,2,2,2,2,2,2,2,3,4,,3,3,3,1,1,1,2,2,2,2,1,1,4,1,,,,,,1,1,1,1,1,2,3,1,3,1,1,3,2,2,2,3,1,2,59,8,2,1,3,2,5,1,1,2,3,1,,1.757575757575757
204384,2,1,3,1,2,1,2,2,2,2,2,2,2,3,3,4,3,,1,,1,2,1,2,2,2,4,4,4,4,,,,,,4,1,4,4,1,2,3,1,1,1,2,3,2,2,1,3,2,1,67,4,2,4,1,4,,1,4,,3,1,,2.181818181818182
205787,2,1,2,1,2,1,2,2,2,2,2,2,2,2,4,3,3,2,3,1,2,2,2,,2,,,,,,,,,,,,,,,,2,4,2,4,1,2,,2,2,1,1,2,2,43,5,2,1,1,2,,3,3,3,3,1,,3.696969696969697
206215,2,1,3,1,2,1,2,2,2,2,2,2,2,2,4,4,4,3,1,1,1,2,2,2,2,2,1,1,1,1,,,,,,1,1,1,1,1,2,4,1,2,1,2,3,2,2,1,3,2,2,70,3,2,1,1,2,5,1,1,3,3,1,,1.696969696969697
208624,2,1,1,1,1,1,2,1,1,1,1,,2,3,1,1,2,3,3,2,2,1,2,1,,1,2,2,2,2,1,1,2,2,2,,,,,,1,1,2,4,2,2,3,1,1,1,2,1,2,23,6,2,1,10,4,4,1,3,4,2,4,4,3.333333333333334
200798,2,1,2,1,2,1,2,2,2,2,2,2,2,2,3,2,2,3,3,1,2,1,1,2,2,1,2,4,4,1,1,1,1,1,2,,,,,,2,1,1,3,1,2,2,1,1,1,2,1,2,57,8,2,1,1,2,7,1,1,3,2,2,2,1
102523,1,1,3,1,2,1,,,2,2,2,,,2,2,2,,2,2,,,2,2,2,2,1,1,1,1,1,1,4,2,4,2,,,,,,2,1,2,4,1,2,4,2,2,3,,,2,46,3,,,1,5,,3,2,2,3,2,2,3.727272727272727
202063,2,1,3,1,2,2,1,,1,1,,,2,,2,,2,1,3,2,5,2,,,3,1,2,2,2,1,,,,,,,2,3,1,2,1,3,2,4,1,2,2,1,1,2,3,1,2,64,3,2,2,1,4,2,1,2,2,3,3,3,3.090909090909091
101823,1,1,2,1,2,2,2,,,2,,,2,3,3,3,3,3,1,2,2,1,2,,3,2,4,4,4,4,,4,4,4,4,,,,,,,3,2,4,,2,3,,1,2,3,,2,,3,2,1,1,2,2,1,3,2,3,1,,1.121212121212121
200740,2,1,2,1,1,1,1,1,1,1,1,2,3,2,1,1,4,3,1,1,1,4,2,1,2,1,2,2,2,1,1,2,1,1,1,,,,,,1,2,1,3,1,1,2,1,2,1,1,2,1,19,4,2,1,2,4,2,3,3,5,3,8,5,2.121212121212121
205441,2,1,3,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,3,2,2,1,3,1,3,2,2,2,2,3,,,,,,3,3,3,3,3,1,2,1,4,1,2,2,1,2,2,3,1,1,34,5,2,2,12,4,1,1,2,3,3,4,4,5.757575757575757
206445,2,1,3,1,2,1,2,2,2,2,,2,2,4,4,4,4,,1,2,1,4,2,2,2,4,4,4,4,4,4,4,4,4,4,,,,,,2,4,2,1,1,2,,,2,1,3,2,2,64,3,2,1,1,2,6,1,3,3,3,4,2,2.121212121212121
102235,1,1,3,1,2,1,2,,2,2,,2,2,3,3,3,3,3,1,2,1,1,3,2,2,2,2,2,2,1,,,,,,2,2,1,2,1,1,2,2,4,2,2,2,2,2,2,3,1,1,59,2,2,5,1,6,2,3,4,1,3,1,,3.03030303030303
202129,2,1,3,1,1,1,2,1,1,1,2,1,3,1,1,1,3,1,3,2,2,2,1,1,1,1,2,2,2,2,,,,,,2,2,2,2,2,1,,2,4,1,2,2,1,1,1,3,,2,59,6,2,,2,6,9,1,3,5,2,2,2,1.303030303030303
101529,1,1,2,1,2,1,2,2,2,2,2,2,2,4,4,4,4,3,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,2,2,1,2,,1,,2,,2,3,2,2,80,1,2,1,1,2,4,1,1,3,3,2,2,1.696969696969697
100739,1,1,3,1,2,1,2,2,2,2,,2,3,2,3,3,3,3,3,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,2,4,1,3,1,1,1,2,2,1,1,1,2,68,4,2,1,2,4,8,1,1,3,1,2,2,1.727272727272727
205761,2,1,2,1,1,2,1,2,1,1,,2,2,1,2,,2,2,3,1,2,2,2,,1,2,1,1,4,1,,,,,,,2,2,1,1,1,2,2,4,1,2,2,1,1,2,3,2,2,55,3,2,1,1,3,,1,3,1,3,3,2,2.181818181818182
206184,2,1,3,1,2,1,2,2,2,2,2,2,2,2,4,,3,3,1,2,1,1,2,,,2,1,1,1,1,1,1,1,1,1,,,,,,2,3,1,1,1,1,3,,2,1,3,1,1,32,3,2,1,1,2,7,1,1,2,3,3,2,2.515151515151515
208329,2,1,3,1,2,2,2,1,2,2,1,1,2,1,3,3,3,3,2,1,1,2,1,2,2,1,1,1,1,1,,,,,,1,2,1,1,1,2,4,2,4,1,1,1,1,1,1,1,2,1,27,3,2,1,12,4,3,3,1,3,3,6,2,3.939393939393939
205379,2,2,3,1,1,1,1,1,,1,,1,3,3,1,2,,2,3,2,2,3,3,2,3,1,2,2,2,2,,,,,,2,2,,,2,1,4,2,4,2,,,1,1,3,,,2,70,1,1,1,2,3,1,3,3,4,,2,2,1.96969696969697
203981,2,1,1,1,2,1,2,2,2,2,2,2,2,1,4,3,3,3,1,1,5,3,1,2,2,2,1,1,1,1,1,1,1,4,1,,,,,,2,,1,1,1,1,3,2,1,1,1,2,1,43,6,2,1,1,4,8,1,1,3,1,7,2,3.606060606060606
100718,1,1,4,1,1,2,2,2,1,1,1,1,2,3,3,2,4,1,3,5,1,2,1,1,3,2,2,2,2,2,2,1,2,2,2,,,,,,2,2,1,3,1,2,2,1,1,1,3,1,1,62,8,1,1,2,5,8,1,3,3,2,2,2,1.212121212121212
200713,2,1,3,1,1,2,1,,1,2,2,,,2,3,2,,3,3,1,2,3,3,,,1,2,1,4,1,1,1,2,3,4,,,,,,2,1,1,4,,1,1,,1,1,3,1,1,21,3,2,1,10,6,1,1,1,2,3,2,2,3.96969696969697
101325,1,1,3,1,2,2,2,2,,2,2,2,2,2,3,1,3,2,3,1,2,1,2,1,3,3,4,1,4,1,2,1,2,4,4,,,,,,2,1,1,3,2,2,2,1,1,1,3,2,2,55,8,2,1,1,4,6,1,1,3,2,3,3,1.090909090909091
206083,2,2,4,1,2,2,1,,2,2,,2,3,3,2,4,2,2,3,1,1,1,3,,3,1,2,2,2,2,,,,,,1,2,2,2,1,2,2,1,4,1,1,1,1,1,3,3,,2,40,1,1,1,12,4,2,1,2,3,3,2,2,4.696969696969697
200608,2,1,1,1,1,1,1,1,1,1,1,1,3,4,2,4,3,1,3,2,2,1,2,1,3,1,2,2,2,2,,,,,,2,2,2,2,2,1,2,2,1,,2,2,1,1,1,2,1,1,73,8,2,1,1,5,6,1,2,5,2,1,,1
201518,2,1,3,1,2,2,2,,2,2,,2,2,1,4,3,4,2,1,1,2,3,3,2,2,1,1,1,1,1,,,,,,1,1,1,1,1,2,3,1,1,1,2,1,1,1,1,3,2,1,31,2,2,4,13,5,,3,3,2,3,5,2,4.090909090909091
100540,1,1,3,1,2,1,2,2,2,2,2,2,2,4,4,4,4,3,1,2,2,1,3,,2,4,4,4,4,4,4,4,4,3,4,,,,,,2,4,1,,1,1,3,2,2,2,1,2,1,57,3,2,1,1,2,,3,3,1,1,,,2.393939393939394
101953,1,1,4,1,2,1,2,2,1,,2,2,2,2,4,2,2,1,3,1,,1,,2,2,2,1,1,1,1,,,,,,1,1,1,1,1,2,4,1,4,1,1,,1,1,1,3,2,2,59,5,2,1,13,5,2,2,1,2,3,2,2,5.454545454545454
102499,1,1,4,1,1,2,2,1,2,1,1,1,3,3,2,2,2,,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,,,,,,1,2,2,4,2,2,1,2,2,2,,2,2,83,3,1,4,13,1,1,3,2,5,3,5,4,5.575757575757576
102714,1,1,3,1,1,1,1,1,1,1,,1,3,3,2,2,3,2,3,2,2,2,2,1,3,1,2,2,2,2,2,2,2,2,2,,,,,,1,1,1,2,2,2,1,1,1,1,2,1,2,34,6,2,1,1,2,6,1,3,4,2,4,3,3.757575757575757
100893,1,1,3,1,1,1,2,1,1,1,1,1,3,2,2,2,,2,3,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,,,,,,1,3,2,1,1,2,2,1,2,1,2,1,2,40,6,2,2,1,2,6,1,2,2,3,2,1,1.181818181818182
200854,2,1,3,1,2,1,2,2,2,2,2,2,2,3,2,2,3,3,3,1,2,2,2,2,3,2,1,2,2,1,,,,,,2,2,1,2,2,2,2,1,3,1,1,2,1,1,1,1,2,2,32,6,2,1,1,1,4,1,3,5,3,4,2,2.606060606060606
202978,2,1,3,1,1,2,2,1,2,1,1,1,3,4,2,2,4,2,3,2,2,2,1,1,1,1,2,2,2,2,,,,,,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,21,3,2,1,12,6,,1,2,4,2,4,3,3.696969696969697
201437,2,1,4,1,2,1,2,2,2,2,,,2,1,4,4,4,3,1,1,2,4,3,,,1,1,1,1,1,,,,,,1,1,1,1,1,2,4,1,3,2,2,2,2,2,1,1,2,1,32,3,2,1,3,4,8,3,1,2,1,4,2,4.181818181818182
100600,1,1,4,1,2,1,2,,2,2,,2,,,,,,,,2,1,2,3,,,,4,1,4,4,,,,,,,1,1,,,2,1,1,2,2,,1,1,1,3,3,,2,53,3,2,1,3,6,5,3,3,3,3,2,2,4.363636363636363
101328,1,1,3,1,1,1,1,1,2,1,2,1,2,,2,1,1,3,3,2,2,1,3,2,3,2,2,2,2,2,2,2,2,2,2,,,,,,1,3,2,1,2,2,2,1,1,3,3,,1,70,2,2,2,1,4,1,1,2,5,2,2,2,2.03030303030303
101950,1,1,4,1,1,,1,1,1,1,,,,,,2,3,2,2,2,2,1,2,,1,1,2,4,2,2,4,,4,2,2,,,,,,1,3,2,2,2,2,,1,2,2,3,2,2,48,5,2,5,11,1,4,1,2,4,3,4,3,3.484848484848484
101628,1,1,2,1,2,1,2,2,2,2,2,2,2,3,3,3,3,2,1,2,2,1,3,2,3,1,1,2,4,2,,,,,,1,,1,4,,2,3,2,2,2,,,2,1,2,3,1,2,80,3,2,1,2,4,,1,2,3,3,3,3,2.666666666666667
102702,1,1,3,1,2,1,2,2,2,2,2,2,2,2,4,4,4,3,1,1,1,1,1,2,2,2,3,4,3,4,1,4,4,1,4,,,,,,2,3,1,3,2,1,,2,2,1,3,2,1,54,3,2,1,1,2,7,1,3,2,1,3,3,2.878787878787879
101231,1,1,3,1,2,1,2,1,2,2,1,2,3,4,1,3,1,3,1,2,2,1,2,2,3,2,2,2,2,2,,,,,,2,2,2,2,3,2,4,2,2,2,2,2,1,1,2,3,1,2,75,2,1,1,2,2,2,1,2,5,3,2,2,1.818181818181818
100088,1,1,1,1,2,1,2,1,1,2,2,2,2,3,2,4,3,,1,1,5,2,1,2,3,3,4,4,4,4,4,4,4,4,4,,,,,,1,4,2,2,2,,4,1,1,1,3,1,1,41,6,2,1,1,2,6,1,3,3,3,5,2,1.545454545454545
102331,1,1,3,1,1,2,2,1,2,2,2,1,3,3,2,2,4,2,1,1,2,2,2,1,3,1,2,2,2,3,2,3,3,3,2,,,,,,2,3,1,3,2,2,3,2,1,2,1,2,2,55,8,2,1,3,1,5,1,2,2,3,1,,1
101310,1,1,2,1,,,2,,,,,2,2,4,3,3,1,3,1,2,5,2,2,,3,1,3,4,2,1,,,,,,3,3,2,1,1,2,4,1,1,1,1,2,1,1,1,3,1,1,44,6,2,1,2,2,7,1,3,3,3,4,2,1
206158,2,1,4,1,1,1,1,1,1,1,1,1,3,4,1,1,4,1,3,2,2,2,1,1,3,1,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,1,1,2,3,1,1,1,3,1,1,58,3,2,1,12,6,3,3,3,3,2,1,,3.96969696969697
102576,1,1,3,1,1,2,1,1,1,2,,1,2,1,1,4,4,1,1,2,1,2,2,1,1,2,2,2,2,1,3,2,2,2,,,,,,,2,4,1,1,1,1,2,1,1,2,3,1,1,57,8,2,1,1,2,3,1,2,1,3,3,2,1.060606060606061
205079,2,1,3,1,,,2,1,2,,2,,3,2,2,2,2,2,3,2,5,2,2,2,2,2,4,1,1,1,1,1,1,2,1,,,,,,2,,1,1,1,1,2,,1,1,3,2,1,53,5,2,1,12,5,6,3,3,3,3,3,3,2.151515151515151
201667,2,1,3,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,3,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,,,,,,1,1,2,1,1,2,3,1,1,1,3,1,2,22,6,2,1,1,4,1,1,2,5,1,3,3,2.484848484848484
102278,1,1,2,1,2,1,2,2,2,2,2,2,,2,3,3,2,3,1,2,1,1,1,1,3,2,1,1,1,1,,,,,,1,2,1,2,1,2,4,1,3,1,2,1,1,1,3,3,1,2,59,8,2,1,1,1,6,1,1,1,3,2,2,1.121212121212121
